campaign_attempt_id,direction,lag_order,test_statistic,degrees_of_freedom,raw_p_value,adjusted_p_value,effective_sample_count,decision,model_validity_status,alpha,multiple_testing_method,multiple_testing_family_id
btc-usd-coinbase-kraken-2026-07-31-v1-P02-001,coinbase_predicts_kraken,2,48.69318684081113,"[2, 794]",1.1286026880120984e-20,5.0787120960544427e-20,402,REJECT_NULL,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-P02-001,kraken_predicts_coinbase,2,0.10549013047529926,"[2, 794]",0.8998959642357505,0.9827685181669226,402,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-P09-001,coinbase_predicts_kraken,1,1.4061990198429326,"[1, 848]",0.23602056517975492,0.3862154702941444,427,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-P09-001,kraken_predicts_coinbase,1,23.73566417628784,"[1, 848]",1.3186710258759329e-6,4.747215693153358e-6,427,REJECT_NULL,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-P10-001,coinbase_predicts_kraken,6,162.05915730084007,"[6, 15636]",1.5241819101127825e-200,2.7435274382030087e-199,7831,REJECT_NULL,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-P10-001,kraken_predicts_coinbase,6,2.257891434847092,"[6, 15636]",0.03517641894306182,0.0791469426218891,7831,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-R01-001,coinbase_predicts_kraken,1,17.85102499724432,"[1, 1524]",0.000025304938978975276,0.00007591481693692583,765,REJECT_NULL,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-R01-001,kraken_predicts_coinbase,1,2.5990660790508944,"[1, 1524]",0.10713375936946432,0.19284076686503576,765,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-R02-001,coinbase_predicts_kraken,1,4.090723679146159,"[1, 680]",0.04351010567916805,0.0870202113583361,343,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-R02-001,kraken_predicts_coinbase,1,1.21537037374897,"[1, 680]",0.27066115708147764,0.40599173562221647,343,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-R05-001,coinbase_predicts_kraken,1,9.551828565857443,"[1, 1938]",0.0020259115364175046,0.005209486807930726,972,REJECT_NULL,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-07-31-v1-R05-001,kraken_predicts_coinbase,1,0.14541510571725577,"[1, 1938]",0.7029977286365551,0.843597274363866,972,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-08-05-followup-v1-F01-001,coinbase_predicts_kraken,1,0.1582546780876218,"[1, 870]",0.6908660921473082,0.843597274363866,438,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-08-05-followup-v1-F01-001,kraken_predicts_coinbase,1,0.0004667478958092032,"[1, 870]",0.9827685181669226,0.9827685181669226,438,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-08-07-evening-followup-v1-F01-001,coinbase_predicts_kraken,2,77.36364520581859,"[2, 752]",2.7968789952275217e-31,2.5171910957047696e-30,381,REJECT_NULL,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-08-07-evening-followup-v1-F01-001,kraken_predicts_coinbase,2,0.021243080153001474,"[2, 752]",0.9789815522571571,0.9827685181669226,381,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-08-multiday-supplement-v1-P05-001,coinbase_predicts_kraken,2,53.45946168427782,"[2, 938]",1.0313224810721094e-22,6.187934886432657e-22,474,REJECT_NULL,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
btc-usd-coinbase-kraken-2026-08-multiday-supplement-v1-P05-001,kraken_predicts_coinbase,2,0.7715854675544932,"[2, 938]",0.4625727359018982,0.6404853266333975,474,FAIL_TO_REJECT,COMPUTED,0.05,fdr_bh,direction_and_attempt_per_specification
