campaign_attempt_id,metric,coinbase_value,kraken_value,coinbase_lower,coinbase_upper,kraken_lower,kraken_upper,cointegration_rank,effective_sample_count,status,insufficiency_reason
btc-usd-coinbase-kraken-2026-07-31-v1-P02-001,GONZALO_GRANGER_COMPONENT_SHARE,0.9683179647998276,0.03168203520017232,0.9683179647998276,0.9683179647998276,0.03168203520017232,0.03168203520017232,1,471,COMPUTED,
btc-usd-coinbase-kraken-2026-07-31-v1-P02-001,HASBROUCK_INFORMATION_SHARE,,,0.9990816822585272,0.9999405821055259,0.00005941789447430828,0.0009183177414727421,1,471,COMPUTED,
btc-usd-coinbase-kraken-2026-07-31-v1-P09-001,GONZALO_GRANGER_COMPONENT_SHARE,,,,,,,0,429,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-07-31-v1-P09-001,HASBROUCK_INFORMATION_SHARE,,,,,,,0,429,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-07-31-v1-P10-001,GONZALO_GRANGER_COMPONENT_SHARE,,,,,,,2,7838,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-07-31-v1-P10-001,HASBROUCK_INFORMATION_SHARE,,,,,,,2,7838,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-07-31-v1-R01-001,GONZALO_GRANGER_COMPONENT_SHARE,,,,,,,2,767,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-07-31-v1-R01-001,HASBROUCK_INFORMATION_SHARE,,,,,,,2,767,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-07-31-v1-R02-001,GONZALO_GRANGER_COMPONENT_SHARE,0.4239846543770567,0.5760153456229434,0.4239846543770567,0.4239846543770567,0.5760153456229434,0.5760153456229434,1,395,COMPUTED,
btc-usd-coinbase-kraken-2026-07-31-v1-R02-001,HASBROUCK_INFORMATION_SHARE,,,0.400295443769426,0.45511093255800794,0.5448890674419922,0.599704556230574,1,395,COMPUTED,
btc-usd-coinbase-kraken-2026-07-31-v1-R05-001,GONZALO_GRANGER_COMPONENT_SHARE,1.29192367343798,-0.29192367343798,1.29192367343798,1.29192367343798,-0.29192367343798,-0.29192367343798,1,974,COMPUTED,
btc-usd-coinbase-kraken-2026-07-31-v1-R05-001,HASBROUCK_INFORMATION_SHARE,,,0.9378897543379895,0.9923750754311913,0.007624924568808977,0.06211024566201042,1,974,COMPUTED,
btc-usd-coinbase-kraken-2026-08-05-followup-v1-F01-001,GONZALO_GRANGER_COMPONENT_SHARE,,,,,,,0,440,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-08-05-followup-v1-F01-001,HASBROUCK_INFORMATION_SHARE,,,,,,,0,440,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-08-07-evening-followup-v1-F01-001,GONZALO_GRANGER_COMPONENT_SHARE,0.4785317511823166,0.5214682488176835,0.4785317511823166,0.4785317511823166,0.5214682488176835,0.5214682488176835,1,384,COMPUTED,
btc-usd-coinbase-kraken-2026-08-07-evening-followup-v1-F01-001,HASBROUCK_INFORMATION_SHARE,,,0.4683555748662076,0.5269364210476596,0.47306357895234064,0.5316444251337923,1,384,COMPUTED,
btc-usd-coinbase-kraken-2026-08-multiday-supplement-v1-P05-001,GONZALO_GRANGER_COMPONENT_SHARE,,,,,,,2,497,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
btc-usd-coinbase-kraken-2026-08-multiday-supplement-v1-P05-001,HASBROUCK_INFORMATION_SHARE,,,,,,,2,497,NOT_ESTIMABLE,COINTEGRATION_RANK_NOT_ONE
